Name,Title,Department
Nora Bednarski,Cabinet member,"('Helena Dalli',)"
Stella Kyriakides,Commissioner,"('Stella Kyriakides',)"
Tove Ernst,Cabinet member,"('Stella Kyriakides',)"
Kim Jorgensen,Cabinet member,"('Margrethe Vestager',)"
Mette Dyrskjot,Cabinet member,"('Margrethe Vestager',)"
Timo Pesonen,Director-General,"('Thierry Breton',)"
Catherine Geslain-Lanéelle,Cabinet member,"('Janusz Wojciechowski',)"
Natalie Pauwels,Cabinet member,"('Janez Lenarčič',)"
Lesia Radelicki,Cabinet member,"('Helena Dalli',)"
Ruben Alexander Schuster,Cabinet member,"('Virginijus Sinkevičius',)"
Stefanie Hiesinger,Cabinet member,"('Frans Timmermans',)"
Marius  Vaščega ,Cabinet member,"('Virginijus Sinkevičius',)"
Tom Tynan,Cabinet member,"('Phil Hogan',)"
Michael Hager,Cabinet member,"('Valdis Dombrovskis',)"
Fabrice Comptour,Cabinet member,"('Thierry Breton',)"
Alina-Stefania Ujupan,Cabinet member,"('Margrethe Vestager',)"
Silvan Agius,Cabinet member,"('Helena Dalli',)"
Elzbieta Lukaniuk,Cabinet member,"('Frans Timmermans', 'Adina Vălean')"
Daniel Mes,Cabinet member,"('Frans Timmermans', 'Adina Vălean')"
Szabolcs Horvath,Cabinet member,"('Olivér Várhelyi',)"
Valere Moutarlier,Cabinet member,"('Thierry Breton',)"
Mauro Raffaele Petriccione,Director-General,"('Wopke Hoekstra',)"
Gwenole Cozigou,Acting Director-General,"('Thierry Breton',)"
Olivier Guersent,Director-General,"('Margrethe Vestager',)"
Anna Gallo Alvarez,Cabinet member,"('Josep Borrell Fontelles',)"
Roberto Reig Rodrigo,Cabinet member,"('Stella Kyriakides',)"
Francisco Barros Castro,Cabinet member,"('Elisa Ferreira',)"
Pauline Weinzierl,Cabinet member,"('Thierry Breton',)"
Filomena Chirico,Cabinet member,"('Thierry Breton',)"
Chiara Salvelli,Cabinet member,"('Mariya Gabriel',)"
Maria Elena Scoppio,Cabinet member,"('Paolo Gentiloni',)"
Anne Bergenfelt,Cabinet member,"('Josep Borrell Fontelles',)"
Guglielmo Di Cola,Cabinet member,"('Mariya Gabriel',)"
Elisabetta Siracusa,Cabinet member,"('Phil Hogan',)"
Catherine Sustek,Cabinet member,"('Margaritis Schinas',)"
Nele Eichhorn,Cabinet member,"('Margrethe Vestager',)"
Helena Hinto,Cabinet member,"('Kadri Simson',)"
Isabelle Perignon,Cabinet member,"('Didier Reynders',)"
Tom Snels,Cabinet member,"('Ylva Johansson',)"
Monika Maglione,Cabinet member,"('Ylva Johansson',)"
Chris Uregian,Cabinet member,"('Margaritis Schinas',)"
Christian Danielsson,Director-General,"('Olivér Várhelyi',)"
Maria Koleva,Cabinet member,"('Mariya Gabriel',)"
Marco Piantini,Cabinet member,"('Paolo Gentiloni',)"
Alienor Margerit,Cabinet member,"('Paolo Gentiloni',)"
Alessio Nardi,Cabinet member,"('Olivér Várhelyi',)"
Ruth Paserman,Cabinet member,"('Valdis Dombrovskis',)"
Elina Melngaile,Cabinet member,"('Valdis Dombrovskis',)"
Kevin Keary,Cabinet member,"('Phil Hogan',)"
Astrid Dentler,Cabinet member,"('Dubravka Šuica',)"
Mathieu Briens,Cabinet member,"('Josep Borrell Fontelles',)"
Valeria Miceli,Cabinet member,"('Ursula von der Leyen',)"
Neil Kerr,Cabinet member,"('Helena Dalli',)"
Paraskevi Michou,Director-General,"('Janez Lenarčič',)"
Maria Luisa Cabral,Cabinet member,"('Ursula von der Leyen',)"
Fernando Sampedro Marcos,Cabinet member,"('Ursula von der Leyen',)"
Nereo Penalver Garcia,Cabinet member,"('Josep Borrell Fontelles',)"
Olivér Várhelyi,Commissioner,"('Olivér Várhelyi',)"
Baiba Aleksejuka-Tavaresa,Cabinet member,"('Josep Borrell Fontelles',)"
Agnieszka Skonieczna,Cabinet member,"('Thierry Breton',)"
Simona Constantin,Cabinet member,"('Věra Jourová',)"
Paolo Gentiloni,Commissioner,"('Paolo Gentiloni',)"
Kaisa Soro-Pesonen,Cabinet member,"('Jutta Urpilainen',)"
David Mueller,Cabinet member,"('Johannes Hahn',)"
Estelle Göger,Cabinet member,"('Paolo Gentiloni',)"
Elzbieta Lukaniuk,Cabinet member,"('Adina Vălean',)"
Annukka Ojala,Cabinet member,"('Stella Kyriakides',)"
Fabien Dell,Cabinet member,"('Nicolas Schmit',)"
Paolo Gentiloni,Commissioner,"('Paolo Gentiloni', 'Valdis Dombrovskis')"
Valdis Dombrovskis ,Executive Vice-President,"('Paolo Gentiloni', 'Valdis Dombrovskis')"
Gaelle Garnier,Cabinet member,"('Thierry Breton',)"
Vanessa Mock,Cabinet member,"('Valdis Dombrovskis',)"
Mette Dyrskjot,Cabinet member,"('Margrethe Vestager', 'Helena Dalli')"
Alejandro Cainzos,Cabinet member,"('Margrethe Vestager', 'Helena Dalli')"
Eva Gerhards,Cabinet member,"('Margrethe Vestager', 'Helena Dalli')"
Nora Bednarski,Cabinet member,"('Margrethe Vestager', 'Helena Dalli')"
Mattia De Grassi,Cabinet member,"('Dubravka Šuica',)"
Janusz Wojciechowski,Commissioner,"('Janusz Wojciechowski',)"
Maria Luisa Llano Cardenal,Cabinet member,"('Margaritis Schinas',)"
Marie Frenay,Cabinet member,"('Věra Jourová',)"
Hilde Hardeman,Head of service,"('Josep Borrell Fontelles',)"
Jakob Wegener Friis,Cabinet member,"('Paolo Gentiloni',)"
Dara Murphy,Cabinet member,"('Mariya Gabriel',)"
Olivier Smith,Cabinet member,"('Ursula von der Leyen',)"
Eduard Hulicius,Cabinet member,"('Věra Jourová',)"
Christiane Canenbley,Cabinet member,"('Margrethe Vestager',)"
Lucia Caudet,Cabinet member,"('Thierry Breton',)"
Anthony Agotha,Cabinet member,"('Frans Timmermans',)"
Frauke Hoss,Cabinet member,"('Maroš Šefčovič',)"
Peter Power,Cabinet member,"('Phil Hogan',)"
Jorge Pinto Antunes,Cabinet member,"('Janusz Wojciechowski',)"
Magdalena Majerczyk,Cabinet member,"('Janusz Wojciechowski',)"
Kyriacos Charalambous,Cabinet member,"('Johannes Hahn',)"
Simona Pinzariu,Cabinet member,"('Janusz Wojciechowski',)"
Brian Synnott,Cabinet member,"('Ylva Johansson',)"
Alexandra Cupsan-Catalin,Cabinet member,"('Ylva Johansson',)"
Kevin O'Connell,Cabinet member,"('Věra Jourová',)"
Christiane Kirketerp De Viron,Cabinet member,"('Johannes Hahn',)"
Ville Itälä,Director-General,"('Johannes Hahn',)"
Brenda Furniere,Cabinet member,"('Ursula von der Leyen',)"
Asa Webber,Cabinet member,"('Ylva Johansson',)"
Damyana Stoynova,Cabinet member,"('Frans Timmermans',)"
Kasia Jurczak,Cabinet member,"('Janez Lenarčič',)"
Marlene Madsen,Cabinet member,"('Elisa Ferreira',)"
Maud Arnould,Cabinet member,"('Josep Borrell Fontelles',)"
Ivo Belet,Cabinet member,"('Dubravka Šuica',)"
Werner Stengg,Cabinet member,"('Thierry Breton', 'Margrethe Vestager')"
Margrethe Vestager,Executive Vice-President,"('Thierry Breton', 'Margrethe Vestager')"
Filomena Chirico,Cabinet member,"('Thierry Breton', 'Margrethe Vestager')"
Thierry Breton,Commissioner,"('Thierry Breton', 'Margrethe Vestager')"
Agnieszka Skonieczna,Cabinet member,"('Thierry Breton', 'Margrethe Vestager')"
Sabine Weyand,Director-General,"('Valdis Dombrovskis',)"
Yizhou Ren,Cabinet member,"('Margrethe Vestager',)"
Christiane Canenbley,Cabinet member,"('Ursula von der Leyen', 'Margrethe Vestager')"
Anthony Whelan,Cabinet member,"('Ursula von der Leyen', 'Margrethe Vestager')"
Dubravka Šuica,Vice-President,"('Dubravka Šuica',)"
Carmen Preising,Cabinet member,"('Virginijus Sinkevičius',)"
Sofja Ribkina,Cabinet member,"('Valdis Dombrovskis',)"
Adam Romanowski,Cabinet member,"('Maroš Šefčovič',)"
Gints Freimanis,Cabinet member,"('Valdis Dombrovskis',)"
Fiona Knab-Lunny,Cabinet member,"('Josep Borrell Fontelles',)"
Jorge Pinto Antunes,Cabinet member,"('Virginijus Sinkevičius', 'Janusz Wojciechowski')"
Camilla Bursi,Cabinet member,"('Virginijus Sinkevičius', 'Janusz Wojciechowski')"
Elisa Ferreira,Commissioner,"('Elisa Ferreira',)"
Zaneta Vegnere,Cabinet member,"('Valdis Dombrovskis',)"
Hugo Monteiro Brilhante Sobral,Cabinet member,"('Elisa Ferreira',)"
Rozalina Petrova,Cabinet member,"('Virginijus Sinkevičius',)"
Per Haugaard,Cabinet member,"('Ursula von der Leyen',)"
Olympia Neocleous,Cabinet member,"('Stella Kyriakides',)"
Raul Hernandez Sagrera,Cabinet member,"('Ylva Johansson',)"
Pedro Serrano De Haro,Cabinet member,"('Josep Borrell Fontelles',)"
Roberto Berutti,Cabinet member,"('Janusz Wojciechowski',)"
Penelope Papandropoulos,Cabinet member,"('Margrethe Vestager',)"
Giorgios Rossides,Cabinet member,"('Stella Kyriakides',)"
Karolina Herbout-Borczak,Cabinet member,"('Stella Kyriakides',)"
Deša Srsen,Cabinet member,"('Dubravka Šuica',)"
Iris Abraham ,Cabinet member,"('Dubravka Šuica',)"
Asa Webber,Cabinet member,"('Ylva Johansson', 'Didier Reynders')"
Geneviève Tuts,Cabinet member,"('Ylva Johansson', 'Didier Reynders')"
Vesna Lončarić,Cabinet member,"('Dubravka Šuica',)"
Tuure Taneli Lahti,Cabinet member,"('Kadri Simson', 'Frans Timmermans', 'Jutta Urpilainen')"
Daniel Mes,Cabinet member,"('Kadri Simson', 'Frans Timmermans', 'Jutta Urpilainen')"
Helena Hinto,Cabinet member,"('Kadri Simson', 'Frans Timmermans', 'Jutta Urpilainen')"
Peeter Kadarik,Cabinet member,"('Kadri Simson', 'Frans Timmermans', 'Jutta Urpilainen')"
Kadri Simson,Commissioner,"('Kadri Simson', 'Frans Timmermans', 'Jutta Urpilainen')"
Maarten Verwey,Director-General,"('Elisa Ferreira',)"
Maarten Verwey,Director-General,"('Paolo Gentiloni',)"
Mirzha De Manuel,Cabinet member,"('Valdis Dombrovskis',)"
Roberto Reig Rodrigo,Cabinet member,"('Stella Kyriakides', 'Frans Timmermans')"
Lukas Visek,Cabinet member,"('Stella Kyriakides', 'Frans Timmermans')"
Maria Inmaculada Lopez Martinez,Cabinet member,"('Josep Borrell Fontelles',)"
Mette Dyrskjot,Cabinet member,"('Paolo Gentiloni', 'Margrethe Vestager')"
Estelle Göger,Cabinet member,"('Paolo Gentiloni', 'Margrethe Vestager')"
Werner Stengg,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Margrethe Vestager,Executive Vice-President,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Andrea Beltramello,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Zaneta Vegnere,Cabinet member,"('Valdis Dombrovskis', 'Margrethe Vestager')"
Rafael Tristan Daerr,Cabinet member,"('Josep Borrell Fontelles',)"
Carole Mancel-Blanchard,Cabinet member,"('Elisa Ferreira',)"
Panayiotis Pourgourides,Cabinet member,"('Stella Kyriakides',)"
Clarisse Albert,Cabinet member,"('Didier Reynders',)"
Salla Saastamoinen,Director-General,"('Didier Reynders',)"
Selma Haenicke,Cabinet member,"('Olivér Várhelyi',)"
Luc De Lobel,Cabinet member,"('Didier Reynders',)"
Ilze Juhansone,Secretary-General,"('Ursula von der Leyen',)"
Peeter Kadarik,Cabinet member,"('Kadri Simson',)"
Maria-Myrto Kanellopoulou,Cabinet member,"('Margaritis Schinas',)"
Mariya Gabriel,Commissioner,"('Ursula von der Leyen', 'Mariya Gabriel')"
Ursula von der Leyen,President,"('Ursula von der Leyen', 'Mariya Gabriel')"
Vasco Ferreira,Cabinet member,"('Mariya Gabriel',)"
Matjaz Malgaj,Cabinet member,"('Janez Lenarčič',)"
Roland Sourd,Cabinet member,"('Janez Lenarčič',)"
Frans Timmermans,Executive Vice-President,"('Frans Timmermans', 'Kadri Simson')"
Kadri Simson,Commissioner,"('Frans Timmermans', 'Kadri Simson')"
Kitti Nyitrai,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Wolfgang Burtscher ,Director-General,"('Janusz Wojciechowski',)"
Marc Lemaître,Director-General,"('Elisa Ferreira',)"
Kerstin Jorna,Director-General,"('Thierry Breton',)"
Laure Chapuis-Kombos,Cabinet member,"('Frans Timmermans', 'Kadri Simson')"
Helena Dalli,Commissioner,"('Helena Dalli', 'Věra Jourová')"
Monika Ladmanova,Cabinet member,"('Helena Dalli', 'Věra Jourová')"
Věra Jourová,Vice-President,"('Helena Dalli', 'Věra Jourová')"
Colin Scicluna,Cabinet member,"('Dubravka Šuica',)"
Adela Kabrtova,Cabinet member,"('Janez Lenarčič',)"
Lora Borissova,Cabinet member,"('Jutta Urpilainen',)"
Carlos Morais-Pires,Cabinet member,"('Mariya Gabriel',)"
Linsey Mccallum,Cabinet member,"('Margrethe Vestager',)"
Angela D'Elia,Cabinet member,"('Paolo Gentiloni',)"
Wioletta Dunin-Majewska,Cabinet member,"('Elisa Ferreira',)"
Mariana Kotzeva,Director-General,"('Paolo Gentiloni',)"
Gert-Jan Koopman,Director-General,"('Johannes Hahn',)"
Louise Groenfeldt,Cabinet member,"('Margrethe Vestager',)"
Camilla Bursi,Cabinet member,"('Stella Kyriakides', 'Virginijus Sinkevičius')"
Roberto Reig Rodrigo,Cabinet member,"('Stella Kyriakides', 'Virginijus Sinkevičius')"
Helena Braun,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius')"
Camilla Bursi,Cabinet member,"('Frans Timmermans', 'Virginijus Sinkevičius')"
Simeona Manova,Cabinet member,"('Elisa Ferreira',)"
Estela Pineiro-Kruik,Cabinet member,"('Frans Timmermans',)"
Barbara Herbolzheimer,Cabinet member,"('Johannes Hahn',)"
Eszter Batta,Cabinet member,"('Thierry Breton',)"
Charlina Vitcheva,Director-General,"('Virginijus Sinkevičius',)"
