,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
5497,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",02/19/21,"('061601915428-87',)",ITI - The Information Technology Industry Council,Brussels (WEBEX),"eu policy files relevant to the technology industry - transatlantic trade and data flows, digital decade, digital and green, artificial intelligence, digital services act, digital markets act"
5545,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Mairead McGuinness',)","('Commissioner',)",02/23/21,"('77823123416-69',)",European Parliamentary Financial Services Forum,Video Conferencing,vision for the eu.
5546,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Mairead McGuinness', 'Deirdre O’Hea')","('Commissioner', 'Cabinet member')",02/23/21,"('77823123416-69',)",European Parliamentary Financial Services Forum,Video Conferencing,"webinar speaking engagement at their winter conference - recovery, cmu, sustainable finance, digital finance"
5550,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",02/24/21,"('10257354120-19',)",Neste Oyj,Videoconference,"renewable energy, circular economy"
5551,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",02/24/21,"('10257354120-19',)",Neste Oyj,virtual,saf
5574,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Jutta Urpilainen',)","('Commissioner',)",02/25/21,"('078294941111-90',)","Gavi, the Vaccine Alliance",Videoconference,discussion on covax and access to vaccines
5575,[],['Communication'],"('Pia Ahrenkilde Hansen',)","('Director-General',)",02/25/21,"('078294941111-90',)","Gavi, the Vaccine Alliance",Online,exchange of good communication practices.
5622,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",03/01/21,"('873067039520-87',)",Wilmar Europe Trading BV,Video call,deforestation and forest degradation
5623,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Eglantine Cujo',)","('Cabinet member',)",03/01/21,"('873067039520-87',)",Wilmar Europe Trading BV,Virtual ,deforestation initiative and the impact on the palm oil countries producers
5664,['Cabinet of Commissioner Kadri Simson'],[],"('Peeter Kadarik', 'Thor-Sten Vertmann')","('Cabinet member', 'Cabinet member')",03/03/21,"('366117914426-10',)",Amazon Europe Core SARL,Video conference,"amazon's commitment to sustainability, renewable energy procurement and experience with corporate power purchase agreements and policies related to transportation electrification. goals of the climate pledge and the european green deal."
5665,['Cabinet of Commissioner Johannes Hahn'],[],"('Christiane Kirketerp De Viron',)","('Cabinet member',)",03/03/21,"('366117914426-10',)",Amazon Europe Core SARL,Conference call,data flows
5761,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Helena Braun',)","('Cabinet member',)",03/10/21,"('7574443768-34',)",Tetra Pak Group,video-call,european green deal and packaging.
5762,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Rozalina Petrova',)","('Cabinet member',)",03/10/21,"('7574443768-34',)",Tetra Pak Group,Virtual,european green deal and packaging..
5869,['Cabinet of Commissioner Didier Reynders'],[],"('Geneviève Tuts', 'Lucrezia Busa')","('Cabinet member', 'Cabinet member')",03/18/21,"('61650796093-48',)",EUROMETAUX,Videoconference,"eu due diligence in supply chains"" - importance of the forthcoming eu legislation for the non-ferrous metals industry"
5870,['Cabinet of Commissioner Kadri Simson'],[],"('Kitti Nyitrai', 'Thor-Sten Vertmann')","('Cabinet member', 'Cabinet member')",03/18/21,"('61650796093-48',)",EUROMETAUX,Brussels (video conf),european metals industry and industrial electrification in new eu industrial strategy
5932,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",03/23/21,"('268958411031-65',)",European Business Summit Network,Brussels - videoconference,clean energy transition debate
5933,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Mairead McGuinness', 'Katherine Power')","('Commissioner', 'Cabinet member')",03/23/21,"('268958411031-65',)",European Business Summit Network,Video Conferencing,opening address at clean energy summit 'how to couple finance and sustainability.
5983,['Cabinet of Commissioner Adina Vălean'],[],"('Adina-Ioana Vălean',)","('Commissioner',)",03/25/21,"('807912421050-91',)",Airlines for Europe,Conference Call,"	covid-19 travel restrictions, testing protocols and vaccination certificates. 
	aviation decarbonisation 
	air traffic management"
5984,['Cabinet of Commissioner Adina Vălean'],[],"('Adina-Ioana Vălean', 'Gaëlle Michelier')","('Commissioner', 'Cabinet member')",03/25/21,"('807912421050-91',)",Airlines for Europe,Online conference,conversation with a4e steering board
6107,['Cabinet of Commissioner Nicolas Schmit'],[],"('Nicolas Schmit', 'Christoph Nerlich', 'Anouk Faber')","('Commissioner', 'Cabinet member', 'Cabinet member')",04/12/21,"('06698681039-26',)",EUROPEAN TRADE UNION CONFEDERATION,Videoconference,meeting on the individual learning accounts (ila).
6108,['Cabinet of Vice-President Margaritis Schinas'],[],"('Maria Luisa Llano Cardenal', 'Margaritis Schinas')","('Cabinet member', 'Vice-President')",04/12/21,"('06698681039-26',)",EUROPEAN TRADE UNION CONFEDERATION,online,skills
6115,['Cabinet of Commissioner Nicolas Schmit'],[],"('Anouk Faber', 'Nicolas Schmit', 'Christoph Nerlich')","('Cabinet member', 'Commissioner', 'Cabinet member')",04/12/21,"('3978240953-79',)",BUSINESSEUROPE,Videoconference,meeting on the individual learning accounts (ila).
6116,['Cabinet of Vice-President Margaritis Schinas'],[],"('Maria Luisa Llano Cardenal', 'Margaritis Schinas')","('Cabinet member', 'Vice-President')",04/12/21,"('3978240953-79',)",BUSINESSEUROPE,online,skills
6178,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Riccardo Maggi',)","('Cabinet member',)",04/14/21,"('793038613858-32',)",Renewables Grid Initiative e.V.,Brussels - video conference,follow up to the offshore renewable energy strategy
6179,['Cabinet of Commissioner Kadri Simson'],[],"('Laure Chapuis-Kombos',)","('Cabinet member',)",04/14/21,"('793038613858-32',)",Renewables Grid Initiative e.V.,Video Conferencing,"to discuss the implementation of the offshore renewable energy strategy and how the offshore coalition for energy and nature's can support this, in particular with regards to the planned ""communities of practice""."
6229,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Iwona Piorko Bermig', 'Margrethe Vestager')","('Cabinet member', 'Executive Vice-President')",04/19/21,"('55820581197-35',)",SMEunited aisbl,Online,industrial strategy
6230,['Cabinet of Commissioner Didier Reynders'],[],"('Lucrezia Busa', 'Didier Reynders')","('Cabinet member', 'Commissioner')",04/19/21,"('55820581197-35',)",SMEunited aisbl,Video conference,substainable corporate governance
6244,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman', 'Peter Power')","('Cabinet member', 'Cabinet member')",04/20/21,"('271912611231-56',)",Deutsche Bank AG,video call,"basel iii, covid response, ccps"
6245,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman', 'Nathalie De Basaldua Lemarchand')","('Cabinet member', 'Cabinet member')",04/20/21,"('271912611231-56',)",Deutsche Bank AG,Brussels,"open strategic autonomy, covid-19 response, basel iii, ccps"
6253,['Cabinet of Commissioner Adina Vălean'],[],"('Elzbieta Lukaniuk', 'Pablo Fabregas Martinez')","('Cabinet member', 'Cabinet member')",04/20/21,"('76903725494-68',)",Association Européenne des Concessionnaires d'Autoroutes et d'Ouvrages à Péage,Conference call,"sustainable and smart mobility policy orientation with a focus on road safety action plan,  its and ten-t revision proposals."
6254,['Cabinet of Commissioner Adina Vălean'],[],"('Pablo Fabregas Martinez',)","('Cabinet member',)",04/20/21,"('76903725494-68',)",Association Européenne des Concessionnaires d'Autoroutes et d'Ouvrages à Péage,conference call ,transport
6265,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Lukas Visek',)","('Cabinet member',)",04/21/21,"('542451235684-35',)",The Good Food Institute Europe (Belgium),Brussels - video conference,discussion on cultivated meat
6266,['Cabinet of Commissioner Stella Kyriakides'],[],"('Annukka Ojala',)","('Cabinet member',)",04/21/21,"('542451235684-35',)",The Good Food Institute Europe (Belgium),Brussels,vc meeting - alternative proteins in f2f
6334,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman',)","('Cabinet member',)",04/26/21,"('799142914971-03',)","Banco Santander, S.A.",Video call,"basel iii, covid response"
6335,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman',)","('Cabinet member',)",04/26/21,"('799142914971-03',)","Banco Santander, S.A.",virtual call,state of play covid19- guaranteed loans in spain and other support measures
6388,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",04/28/21,"('78787381113-69',)",BNP PARIBAS,video conference,basel implementation
6389,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman',)","('Cabinet member',)",04/28/21,"('78787381113-69',)",BNP PARIBAS,virtual call,open strategic autonomy
6430,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg', 'Margrethe Vestager')","('Cabinet member', 'Executive Vice-President')",04/30/21,"('7459401905-60',)",Intel Corporation,Brussels,"eu's digital transition, the eu's digital transition, the processor and semiconductor ecosystem in europe in europe"
6431,['Cabinet of Commissioner Thierry Breton'],[],"('Fabrice Comptour', 'Thierry Breton')","('Cabinet member', 'Commissioner')",04/30/21,"('7459401905-60',)",Intel Corporation,"Brussels, Belgium","eu's digital transition, the processor and semiconductor ecosystem in europe"
6457,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",05/04/21,"('64270747023-20',)",DIGITALEUROPE,Online ,sustainable corporate governance initiative
6458,['Cabinet of Commissioner Thierry Breton'],[],"('Pauline Weinzierl', 'Filomena Chirico')","('Cabinet member', 'Cabinet member')",05/04/21,"('64270747023-20',)",DIGITALEUROPE,Videoconference,transatlantic relationship
6474,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Maroš Šefčovič',)","('Executive Vice-President',)",05/05/21,"('3978240953-79',)",BUSINESSEUROPE,online,implications of the implementation of the trade and cooperation agreement for eu-uk trade
6475,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",05/05/21,"('3978240953-79',)",BUSINESSEUROPE,Videoconference,"sustainable corporate governance, due diligence and eu consumer agenda"
6511,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",05/07/21,"('0649790813-47',)",Association des Constructeurs Européens d'Automobiles,Videoconference,preparatory meeting for the 19/5 meeting between commissioner breton and acea
6512,['Cabinet of Commissioner Thierry Breton'],[],"('Pauline Weinzierl',)","('Cabinet member',)",05/07/21,"('0649790813-47',)",Association des Constructeurs Européens d'Automobiles,Videoconference,review of the steel safeguards measures
6604,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power',)","('Cabinet member',)",05/18/21,"('3978240953-79',)",BUSINESSEUROPE,Virtual,taxonomy article 8 disclosures delegated act
6605,['Cabinet of President Ursula von der Leyen'],[],"('Valeria Miceli',)","('Cabinet member',)",05/18/21,"('3978240953-79',)",BUSINESSEUROPE,Brussels,taxonomy delegated act (art 8)
6722,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",05/28/21,"('0801162959-21',)",Microsoft Corporation,Online ,data privacy
6723,['Cabinet of Commissioner Thierry Breton'],[],"('Valere Moutarlier', 'Agnieszka Skonieczna', 'Filomena Chirico')","('Cabinet member', 'Cabinet member', 'Cabinet member')",05/28/21,"('0801162959-21',)",Microsoft Corporation,video conference,"discussions on cloud, platforms and ai regulation"
6728,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Mairead McGuinness',)","('Commissioner',)",05/28/21,"('33213703459-54',)",Insurance Europe,Video Conferencing.,record video for insurance europe resilence week touching all aspects of insurance role in building resilence.
6729,[],"['Financial Stability, Financial Services and Capital Markets Union']","('John Berrigan',)","('Director-General',)",05/28/21,"('33213703459-54',)",Insurance Europe,Virtual Meeting,"solvency ii, green recovery"
6778,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",06/01/21,"('58744833263-19',)",Transport and Environment (European Federation for Transport and Environment),Brussels,listen to their views on euro 7
6779,['Cabinet of Commissioner Adina Vălean'],[],"('Rachel Smit', 'Adina-Ioana Vălean', 'Pablo Fabregas Martinez')","('Cabinet member', 'Commissioner', 'Cabinet member')",06/01/21,"('58744833263-19',)",Transport and Environment (European Federation for Transport and Environment),Conference call,meeting to discuss refuel eu (aviation and maritime).
6839,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Renaud Savignat',)","('Cabinet member',)",06/04/21,"('697362735627-20',)",Save the Children Europe,Videoconference,engaging on education and global education summit in late july
6840,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Renaud Savignat',)","('Cabinet member',)",06/04/21,"('697362735627-20',)",Save the Children Europe,Videoconference,engaging on education and global education summit in late july and global education summit in late july
6896,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",06/08/21,"('807912421050-91',)",Airlines for Europe,virtual,fit for 55
6897,[],['Taxation and Customs Union'],"('Gerassimos Thomas',)","('Director-General',)",06/08/21,"('807912421050-91',)",Airlines for Europe,Brussels,videoconference - discussion on energy taxation and the taxation of the aviation sector
6899,"['Cabinet of Executive Vice-President Frans Timmermans', 'Cabinet of Commissioner Stella Kyriakides']",[],"('Lukas Visek', 'Annukka Ojala')","('Cabinet member', 'Cabinet member')",06/08/21,"('84973761187-60',)",EuroCommerce,Videoconference,eu code for responsible business and marketing practices
6900,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Agnieszka Drzewoska',)","('Cabinet member',)",06/08/21,"('84973761187-60',)",EuroCommerce,Virtual meeting,"preparatory discussion ahead of eurocommerce event in june: economic outlook, green finance, investment protection, payments."
6986,['Cabinet of Commissioner Olivér Várhelyi'],[],"('Szabolcs Horvath',)","('Cabinet member',)",06/16/21,"('442822332191-58',)","Udruga za sport, rekreaciju i edukaciju- Igre mladih",BERL,to present the work of ysg to the commissioner and introduce him with the expansion plans (especially those related to candidate countries) and special events plan especially the one for the celebration of 25th anniversary of the ysg in croatia
6987,"['Cabinet of Vice-President Margaritis Schinas', 'Cabinet of Commissioner Johannes Hahn']",[],"('Vangelis Demiris', 'Margaritis Schinas', 'Johannes Hahn')","('Cabinet member', 'Vice-President', 'Commissioner')",06/16/21,"('442822332191-58',)","Udruga za sport, rekreaciju i edukaciju- Igre mladih",BERL,vice-president schinas holds a meeting with the representatives of the youth sports game
7001,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman', 'Peter Power')","('Cabinet member', 'Cabinet member')",06/17/21,"('079859143048-81',)",Finbourne Technology Limited,Virtual,introduction of their company and readout of their discussions with dg fisma and esma finra and their planning in relation to the consolidated tape provider.
7002,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman',)","('Cabinet member',)",06/17/21,"('079859143048-81',)",Finbourne Technology Limited,Video call ,introductory call
7074,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",06/22/21,"('07783117686-61',)",Third Generation Environmentalism Ltd,online,discussion on socially fair green transition
7075,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Stefanie Hiesinger', 'Antoine Colombani', 'Estela Pineiro-Kruik', 'Diederik Samsom')","('Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member')",06/22/21,"('07783117686-61',)",Third Generation Environmentalism Ltd,videoconference (Brussels),virtual meeting on social dimension of fit for 55 / european green deal
7143,['Cabinet of Commissioner Kadri Simson'],[],"('Laure Chapuis-Kombos',)","('Cabinet member',)",06/24/21,"('97810874431-67',)",Bioenergy Europe,Video Conferencing,"fit for 55 package, 
review of the redii criteria, in particular the sustainability criteria for solid biomass."
7144,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Riccardo Maggi',)","('Cabinet member',)",06/24/21,"('97810874431-67',)",Bioenergy Europe,Brussels - video conference,red revision
7176,['Cabinet of Commissioner Mariya Gabriel'],[],"('Mariya Gabriel',)","('Commissioner',)",06/29/21,"('0801162959-21',)",Microsoft Corporation,Brussels ,"european recovery, twin transition, digital and regulatory agenda"
7177,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Valdis Dombrovskis ',)","('Executive Vice-President',)",06/29/21,"('0801162959-21',)",Microsoft Corporation,video conference ,"the main topics for the meeting were: transatlantic relations with a focus on us-eu trade and technology council, digital trade and wto e-commerce negotiations, digital angle of economic recovery."
7207,['Cabinet of Commissioner Adina Vălean'],[],"('Adina-Ioana Vălean',)","('Commissioner',)",06/30/21,"('7193977808-18',)",Bayerische Motoren Werke Aktiengesellschaft,Brussels,meeting ceo
7208,['Cabinet of President Ursula von der Leyen'],[],"('Bjoern Seibert',)","('Cabinet member',)",06/30/21,"('7193977808-18',)",Bayerische Motoren Werke Aktiengesellschaft,Brussels,preparation of fit for 55
7209,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",06/30/21,"('7193977808-18', '0649790813-47')","Bayerische Motoren Werke Aktiengesellschaft,Association des Constructeurs Européens d'Automobiles",Brussels,automotive in the fit for 55 package
7210,['Cabinet of Commissioner Adina Vălean'],[],"('Walter Goetz', 'Adina-Ioana Vălean', 'Filip Alexandru Negreanu Arboreanu')","('Cabinet member', 'Commissioner', 'Cabinet member')",06/30/21,"('7193977808-18', '0649790813-47')","Bayerische Motoren Werke Aktiengesellschaft,Association des Constructeurs Européens d'Automobiles",Brussels,decarbonisation of road transport
7224,['Cabinet of Commissioner Thierry Breton'],[],"('Eszter Batta', 'Joan Canton')","('Cabinet member', 'Cabinet member')",07/01/21,"('58744833263-19',)",Transport and Environment (European Federation for Transport and Environment),Videoconference,co2 standards for cars and vans
7225,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",07/01/21,"('58744833263-19',)",Transport and Environment (European Federation for Transport and Environment),Brussels,discussion on transport in the fit for 2030 package
7289,['Cabinet of Vice-President Maroš Šefčovič'],[],"('Maroš Šefčovič',)","('Executive Vice-President',)",07/08/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Bruxelles,regulatory initiatives and policy issues
7290,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",07/08/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Videoconference,rule of law and due diligence/human rights in supply chains/ data flows with us
7291,['Cabinet of Commissioner Kadri Simson'],[],"('Tatiana Marquez Uriarte', 'Thor-Sten Vertmann', 'Kadri Simson')","('Cabinet member', 'Cabinet member', 'Commissioner')",07/08/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Hybrid (online and BERL),"upcoming eu initiatives in energy related legislation (""fit for 55"" package)."
7326,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Lukas Visek',)","('Cabinet member',)",07/13/21,"('28920471149-55',)",European Coordination Via Campesina,Video-call,sustainable food systems
7327,['Cabinet of Commissioner Stella Kyriakides'],[],"('Annukka Ojala',)","('Cabinet member',)",07/13/21,"('28920471149-55',)",European Coordination Via Campesina,Brussels,vtc meeting - farm to fork strategy
7346,[],"['Education, Youth, Sport and Culture']","('Themis Christophidou',)","('Director-General',)",07/14/21,"('45445593026-68',)",Erasmus Student Network,online,courtesy call with the outgoing and incoming president
7347,['Cabinet of Vice-President Margaritis Schinas'],[],"('Catherine Sustek', 'Margaritis Schinas')","('Cabinet member', 'Vice-President')",07/14/21,"('45445593026-68',)",Erasmus Student Network,Brussels,erasmus student network
7348,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power', 'Claude Bocqueraz')","('Cabinet member', 'Cabinet member')",07/14/21,"('479468313744-50',)",Ibec,Virtual meeting,"capital markets union, digital finance, sustainable finance, and anti-money laundering."
7349,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power',)","('Cabinet member',)",07/14/21,"('479468313744-50',)",Ibec,Virtual,introductory meeting
7391,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",07/19/21,"('312446938719-11',)",eFuel Alliance,online,keynote speech at fuelling europe's sustainable future event
7392,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",07/19/21,"('312446938719-11',)",eFuel Alliance,online,keynote speech on e-fuels to deliver the european green deal
7395,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",07/19/21,"('424103441763-49',)",Breakthrough Energy Catalyst Foundation,Brussels ,"green transition, renewable energy"
7396,['Cabinet of Commissioner Thierry Breton'],[],"('Thierry Breton', 'Agnieszka Skonieczna', 'Maurits-Jan Prinz', 'Lucia Caudet')","('Commissioner', 'Cabinet member', 'Cabinet member', 'Cabinet member')",07/19/21,"('424103441763-49',)",Breakthrough Energy Catalyst Foundation,Brussels,"vaccine production, europe's industrial agenda and collaboration on the breakthrough energy catalyst"
7450,['Cabinet of Commissioner Thierry Breton'],[],"('Filomena Chirico',)","('Cabinet member',)",07/29/21,"('078655018381-34',)",TIM S.p.A.,Videoconference,"digital decade targets, technology and investment in connectivity"
7451,['Cabinet of Commissioner Thierry Breton'],[],"('Filomena Chirico',)","('Cabinet member',)",07/29/21,"('078655018381-34',)",TIM S.p.A.,Videoconference,italian telecoms markets
7465,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",08/26/21,"('60974102057-03',)",France Industrie,video conference,sustainable finance taxonomy
7466,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power',)","('Cabinet member',)",08/26/21,"('60974102057-03',)",France Industrie,Virtual,taxonomy climate delegated act
7499,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Mairead McGuinness',)","('Commissioner',)",09/02/21,"('458295331598-02',)",Bruegel,Brussels,panel discussion on competitiveness of eu banks and the future of eu banks
7500,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Diederik Samsom',)","('Cabinet member',)",09/02/21,"('458295331598-02',)",Bruegel,Brussels ,speech at bruegel annual meeting - the role of the state in providing infrastructure for decarbonisation
7501,[],['Trade'],"('Sabine Weyand',)","('Director-General',)",09/02/21,"('458295331598-02',)",Bruegel,Brussels,"trade policy, international trade and investment."
7502,['Cabinet of High Representative Josep Borrell Fontelles'],[],"('Leila Fernandez-Stembridge',)","('Cabinet member',)",09/02/21,"('479914637521-29',)",Temasek International Pte Ltd,Brussels,"exchange views on investeu, newgenerationeu, green deal, eu-us/eu-china relations, vaccines, inter alia"
7503,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Mirzha De Manuel',)","('Cabinet member',)",09/02/21,"('479914637521-29',)",Temasek International Pte Ltd,Brussels,"ngeu, the rrf and the green and digital policy priorities and tools."
7525,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Jutta Urpilainen',)","('Commissioner',)",09/06/21,"('428294520891-74',)",International Centre for Migration Policy Development,Brussels,"migration and mobility, vienna migration conference 2021"
7526,['Cabinet of Vice-President Margaritis Schinas'],[],"('Natasha Bertaud', 'Margaritis Schinas')","('Cabinet member', 'Vice-President')",09/06/21,"('428294520891-74',)",International Centre for Migration Policy Development,Brussels,pact for migration and asylum
7529,['Cabinet of Commissioner Nicolas Schmit'],[],"('Nicolas Schmit', 'Andrea Nahles', 'Anouk Faber', 'Ana Carla  Pereira')","('Commissioner', 'Cabinet member', 'Cabinet member', 'Cabinet member')",09/06/21,"('757195013270-80',)",Industriegewerkschaft Metall,Videoconference,participation at an executive board meeting of the german trade union ig metall on the transformation of the economy and the maintaining of industrial labour in eu and how social partners can play a key role for the just transition.
7530,['Cabinet of Commissioner Nicolas Schmit'],[],"('Andrea Nahles',)","('Cabinet member',)",09/06/21,"('757195013270-80',)",Industriegewerkschaft Metall,"Bonn, Germany",social dialogue
7543,['Cabinet of Commissioner Ylva Johansson'],[],"('Monika Maglione', 'Asa Webber')","('Cabinet member', 'Cabinet member')",09/07/21,"('588327811384-96',)",Apple Inc.,Brussels,discussion on the recent announcements by apple of new child safety features
7544,['Cabinet of Commissioner Didier Reynders'],[],"('Geneviève Tuts',)","('Cabinet member',)",09/07/21,"('588327811384-96',)",Apple Inc.,Brussels,"privacy shield, data protection, encryption"
7589,['Cabinet of Commissioner Thierry Breton'],[],"('Thierry Breton', 'Fabrice Comptour')","('Commissioner', 'Cabinet member')",09/09/21,"('99346002337-55',)",HP Inc,Brussels,eu's long-term vision on strategic autonomy and reshoring opportunities in the technology sector
7590,['Cabinet of Commissioner Thierry Breton'],[],"('Filomena Chirico',)","('Cabinet member',)",09/09/21,"('99346002337-55',)",HP Inc,Videoconference,exchange of views on resilience and industrial policy
7596,['Cabinet of Commissioner Janez Lenarčič'],[],"('Janez Lenarčič',)","('Commissioner',)",09/10/21,"('200781944024-83',)",Berghof Foundation Operations gGmbH,Brussels,"climate change, humanitarian aid, climate resilience, conflict, humanitarian-development-peace nexus"
7597,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Olai Voionmaa',)","('Cabinet member',)",09/10/21,"('200781944024-83',)",Berghof Foundation Operations gGmbH,Brussels,nexus and peace building in partner countries.
7755,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Margrethe Vestager', 'Alejandro Cainzos')","('Executive Vice-President', 'Cabinet member')",09/23/21,"('208351410839-33',)",Indra,Brussels,eu defence
7756,['Cabinet of Commissioner Thierry Breton'],[],"('Thierry Breton', 'Fabrice Comptour')","('Commissioner', 'Cabinet member')",09/23/21,"('208351410839-33',)",Indra,Commissioner's meeting room,industrial policy
7760,['Cabinet of Commissioner Thierry Breton'],[],"('Filomena Chirico',)","('Cabinet member',)",09/23/21,"('52431421-12',)","Telefonica, S.A.",Bruxelles,contribution of telecoms to the digital decade
7761,['Cabinet of Vice-President Margaritis Schinas'],[],"('Despina Spanou',)","('Cabinet member',)",09/23/21,"('52431421-12',)","Telefonica, S.A.",Brussels,current security union issues
7762,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Michele Piergiovanni', 'Penelope Papandropoulos', 'Alejandro Cainzos')","('Cabinet member', 'Cabinet member', 'Cabinet member')",09/23/21,"('52431421-12',)","Telefonica, S.A.",Brussels,issues within the competition portfolio
7799,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Tuure Taneli Lahti',)","('Cabinet member',)",09/28/21,"('03501997362-71',)",Fortum Oyj,videoconference,"decarbonisation, taxonomy"
7800,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power', 'Peter Power')","('Cabinet member', 'Cabinet member')",09/28/21,"('03501997362-71',)",Fortum Oyj,Brussels,green deal and fit for 55 package
7817,['Cabinet of Commissioner Elisa Ferreira'],[],"('Elisa Ferreira',)","('Commissioner',)",09/28/21,"('56592866496-47',)","EDP - Energias de Portugal, SA",Brussels,decarbonisation projects of the edp and possible eu support.
7818,['Cabinet of Commissioner Kadri Simson'],[],"('Kadri Simson', 'Tatiana Marquez Uriarte')","('Commissioner', 'Cabinet member')",09/28/21,"('56592866496-47',)","EDP - Energias de Portugal, SA",BERL 08/141,"hydrogen, renewables and energy systems integration.
the issue of rising energy prices."
7819,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Anne Funch Jensen',)","('Cabinet member',)",09/28/21,"('56592866496-47',)","EDP - Energias de Portugal, SA",Brussels,issues within the competition and digital portfolios
7836,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Anne Funch Jensen',)","('Cabinet member',)",09/29/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Brussels,"draft state aid guidelines on climate, environmental protection and energy"
7837,[],['Climate Action'],"('Mauro Raffaele Petriccione',)","('Director-General',)",09/29/21,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Brussels,fit for 55 package
