TR Name,Category of registration,Degree,Hypercoreness_False,Hypercoreness_sub_False,Hypercoreness_True,Hypercoreness_sub_True,Hypercoreness_G_False,Hypercoreness_G_sub_False,Hypercoreness_G_True,Hypercoreness_G_sub_True,TR Country,Members FTE,Assets,Revenue,Nb employees,NACE,Level Sub-National,Level Global,Level European,Level National,Level Regional/Local
Transport and Environment (European Federation for Transport and Environment),"Non-governmental organisations, platforms and networks and similar",133.0,0.949541174783731,0.891569868886784,0.257220232000465,0.379089616702072,0.888888888888889,0.78125,0.356,0.639175257731959,BELGIUM,23.75,,,,,1,1,1,1,0
SGI Europe,"Non-governmental organisations, platforms and networks and similar",52.0,0.9700568752091,0.813111737042392,0.319077061386533,0.530993737187179,0.888888888888889,0.84375,0.66,0.835051546391753,BELGIUM,7.0,,,,,0,0,1,0,0
Costa Crociere S.p.A. (Costa Group),Companies and groups,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,ITALY,0.75,9571739.70095337,2384578.87751281,29747.0,H - Transportation and storage,0,1,0,0,0
DIGITALEUROPE,Trade and business associations,66.0,0.832996861508069,0.506449723316217,0.192557265075092,0.177711235446976,0.861111111111111,0.90625,0.284,0.556701030927835,BELGIUM,23.25,,,,,0,1,1,0,0
Volkswagen Aktiengesellschaft,Companies and groups,43.0,0.818183976166579,0.77761644814464,0.169187559362679,0.234066081468739,0.861111111111111,0.75,0.284,0.422680412371134,GERMANY,15.35,602385526.182652,310607636.774182,646837.0,C - Manufacturing,1,1,1,1,0
International Rescue Committee Inc (IRC),"Non-governmental organisations, platforms and networks and similar",11.0,0.316096002803932,0.483052079698224,0.0637241326534531,0.132781988661097,0.694444444444444,0.6875,0.168,0.278350515463918,UNITED STATES,8.0,,,,,0,1,0,0,0
Access Now,"Non-governmental organisations, platforms and networks and similar",8.0,0.205068584810974,0.077552470212872,0.0419046051896797,0.0278203842360261,0.222222222222222,0.0625,0.064,0.0618556701030928,UNITED STATES,1.0,,,,,0,1,0,0,0
Potsdam-Institut für Klimafolgenforschung,Think tanks and research institutions,11.0,0.265723685258647,0.102221363643917,0.0466493870598496,0.0212878635534244,0.5,0.15625,0.088,0.0515463917525773,GERMANY,0.75,,,,,1,1,1,1,0
KLM Royal Dutch Airlines,Companies and groups,14.0,0.533260526693113,0.524851687521811,0.0911982620726018,0.205479711586085,0.833333333333333,0.71875,0.208,0.34020618556701,NETHERLANDS,2.0,12695733.7087393,11640866.8148518,28201.0,H - Transportation and storage,0,1,1,1,0
Endocrine Society,Trade unions and professional associations,5.0,0.186527744587296,0.230218771291357,0.0308998037694636,0.0755261429861051,0.777777777777778,0.84375,0.112,0.278350515463918,UNITED STATES,1.25,,,,,0,1,0,0,0
