TR Name,Category of registration,Degree,Hypercoreness_False,Hypercoreness_sub_False,Hypercoreness_True,Hypercoreness_sub_True,Hypercoreness_G_False,Hypercoreness_G_sub_False,Hypercoreness_G_True,Hypercoreness_G_sub_True,TR Country,Members FTE,Assets,Revenue,Nb employees,NACE,Level Sub-National,Level Global,Level European,Level National,Level Regional/Local
EcoTransFaire (ETF),Companies and groups,1.0,0.0460912233745957,,0.0074436550151605,,0.0833333333333333,,0.012,,LUXEMBOURG,4.5,353.250284314752,,,"M - Professional, scientific and technical activities",0,0,1,1,1
Broadcom,Companies and groups,6.0,0.118852459016393,,0.0195500746184518,,0.0833333333333333,,0.028,,UNITED STATES,0.5,72861000.0,35819000.0,20000.0,C - Manufacturing,0,1,0,0,0
Expedia Group,Companies and groups,10.0,0.326704424158422,0.252833308406866,0.0520693931509388,0.074215586144933,0.583333333333333,0.4375,0.104,0.144329896907216,UNITED STATES,1.85,21561000.0,11667000.0,16500.0,N - Administrative and support service activities,0,1,0,0,0
International Institute of Communications,Think tanks and research institutions,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,UNITED KINGDOM,5.0,,,,,0,1,0,0,0
Conférence des Régions Périphériques Maritimes d'Europe (CRPM),Associations and networks of public authorities,9.0,0.209779668307604,0.204943333831863,0.0403876403321398,0.0646396733126991,0.444444444444444,0.4375,0.084,0.144329896907216,FRANCE,14.0,,,,,1,0,1,1,0
LP Brussels,Professional consultancies,5.0,0.17083847121987,0.0975351878624724,0.0293740886502292,0.0333979763862241,0.222222222222222,0.09375,0.052,0.0721649484536082,BELGIUM,5.0,,,,,0,0,1,0,0
Aviva Investors,Companies and groups,1.0,0.0496949130940432,,0.0085184893452074,,0.111111111111111,,0.016,,UNITED KINGDOM,0.75,564.661769270897,,,K - Financial and insurance activities,0,1,1,1,0
"CEMEX, S.A.B. de C.V.",Companies and groups,2.0,0.0757236852586468,,0.0113079906441654,,0.111111111111111,,0.016,,MEXICO,3.0,26447000.0,15833000.0,,C - Manufacturing,0,1,0,0,0
Elegrotech OÜ (Elegrotech),Companies and groups,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,ESTONIA,0.5,1926.21681302428,,1.0,"M - Professional, scientific and technical activities",0,1,1,0,0
European Biogas Association,Trade and business associations,14.0,0.453324252417595,0.274070658224903,0.0726995395995643,0.0890904359831472,0.611111111111111,0.40625,0.124,0.134020618556701,BELGIUM,6.0,,,,,0,0,1,0,0
Amgen Inc,Companies and groups,2.0,0.0721199955391993,0.0478899745750037,0.0102331563141185,0.0095759128322338,0.111111111111111,0.0625,0.016,0.0206185567010309,UNITED STATES,3.25,65121000.0,26323000.0,25200.0,C - Manufacturing,0,1,0,0,0
European Film Agency Directors,Associations and networks of public authorities,2.0,0.0520575443292071,,0.0055790025979159,,0.0555555555555556,,0.008,,BELGIUM,2.25,,,,,1,1,1,1,0
Gavea Investimento,Companies and groups,2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,BRAZIL,1.25,89611.1018173397,66334.6157673001,76.0,K - Financial and insurance activities,0,1,0,0,0
Volvo Car Corporation AB,Companies and groups,13.0,0.384342270866192,0.393831945760008,0.070385715295144,0.132958053026609,0.722222222222222,0.5,0.16,0.237113402061856,SWEDEN,2.0,,,0.0,,1,1,1,1,0
ECFIA Representing the High Temperature Insulation Wool Industry,Trade and business associations,1.0,0.0460912233745957,0.0478899745750037,0.0074436550151605,0.0095759128322338,0.0833333333333333,0.0625,0.012,0.0206185567010309,FRANCE,0.75,,,,,0,0,1,0,0
WirtschaftsVereinigung Metalle,Trade and business associations,4.0,0.161909700648409,0.117625920202071,0.0236686661297259,0.0225727115581375,0.25,0.125,0.04,0.0412371134020619,GERMANY,3.0,,,,,1,0,1,1,0
INSTITUT PHOTOVOLTAIQUE D’ ILE DE FRANCE,Companies and groups,1.0,0.0407661425225828,,0.005602568123662,,0.0555555555555556,,0.008,,FRANCE,0.25,43986.4530360276,13342.0610006392,,"M - Professional, scientific and technical activities",1,0,1,1,0
Awaris GmbH,Companies and groups,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,GERMANY,0.85,1264.93511689725,,18.0,P - Education,0,0,1,0,0
Managed Funds Association,Trade and business associations,10.0,0.18564737370358,,0.0335211466389878,,0.166666666666667,,0.048,,UNITED STATES,1.95,,,,,0,1,0,0,0
Société des auteurs et compositeurs dramatiques,Companies and groups,1.0,0.0407661425225828,,0.005602568123662,,0.0555555555555556,,0.008,,FRANCE,1.75,278154.919041349,44085.0967587562,,"R - Arts, entertainment and recreation",1,1,1,1,0
Center for Global Development,Think tanks and research institutions,2.0,0.0667949146871864,,0.00839206942262,,0.0833333333333333,,0.012,,UNITED STATES,1.0,,,,,0,1,0,0,0
CaliberAI,Academic institutions,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,IRELAND,0.25,,,,,0,1,0,0,0
Svaz průmyslu a dopravy ČR,Trade and business associations,7.0,0.175236342780672,0.230218771291357,0.0392918731920836,0.0755261429861051,0.777777777777778,0.84375,0.124,0.278350515463918,CZECH REPUBLIC,6.75,,,,,1,1,1,1,0
Commerzbank AG,Companies and groups,20.0,0.595046599436027,0.540081758811506,0.111043978074782,0.203103844834146,0.861111111111111,0.90625,0.252,0.556701030927835,GERMANY,3.7,509235126.475096,11240892.0067549,41909.0,K - Financial and insurance activities,1,1,1,1,0
Eesti Tööandjate Keskliit,Trade and business associations,3.0,0.0815322850451656,,0.0168077043709862,,0.111111111111111,,0.024,,ESTONIA,1.25,,,,,0,1,1,1,1
Environmental Coalition on Standards,"Non-governmental organisations, platforms and networks and similar",13.0,0.570203125746786,0.67610964321917,0.0971955649246531,0.192348258637569,0.75,0.78125,0.188,0.298969072164948,BELGIUM,21.25,,,,,0,1,1,1,0
Zero Waste Europe,"Non-governmental organisations, platforms and networks and similar",18.0,0.63264382099444,0.386767369593034,0.100707900813594,0.115667296025324,0.5,0.375,0.188,0.257731958762887,NETHERLANDS,7.5,,,,,0,0,1,0,0
SURFRIDER FOUNDATION EUROPE,"Non-governmental organisations, platforms and networks and similar",4.0,0.200895824371903,0.375469448460375,0.0371512288201579,0.0926015874341312,0.472222222222222,0.40625,0.108,0.216494845360825,FRANCE,2.7,,,,,1,1,1,1,0
Environmental Investigation Agency,"Non-governmental organisations, platforms and networks and similar",7.0,0.368739983112683,0.584016733968127,0.0711535679310965,0.190449911758476,0.694444444444444,0.5,0.196,0.360824742268041,UNITED KINGDOM,4.9,,,,,0,1,0,0,0
Center for International Environmental Law,"Non-governmental organisations, platforms and networks and similar",4.0,0.229792254138189,0.502966249563787,0.0463279900277165,0.132535198555634,0.777777777777778,0.84375,0.128,0.278350515463918,UNITED STATES,1.85,,,,,0,1,0,0,0
European Association of Regional and Local Authorities for Lifelong Learning,"Non-governmental organisations, platforms and networks and similar",1.0,0.0460912233745957,0.0296624956378683,0.0074436550151605,0.0043342792857791,0.0833333333333333,0.03125,0.012,0.0103092783505155,BELGIUM,3.0,,,,,0,0,1,0,0
Kooperationsstelle EU der Wissenschaftsorganisationen,Think tanks and research institutions,3.0,0.0520575443292071,,0.0083685038968738,,0.0555555555555556,,0.012,,GERMANY,3.0,,,,,1,0,0,1,0
Trustpilot,Companies and groups,8.0,0.206176934474024,0.334384399355235,0.0458802856335026,0.114764053727524,0.527777777777778,0.4375,0.128,0.216494845360825,DENMARK,1.2,129171.131551892,122872.976275831,345.0,J - Information and communication,0,1,0,0,0
Drone Alliance Europe,Trade and business associations,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BELGIUM,0.75,,,,,0,0,1,0,0
Confédération des Petites et Moyennes Entreprises,Trade unions and professional associations,4.0,0.124177539868406,0.0296624956378683,0.0158121589120344,0.0043342792857791,0.166666666666667,0.03125,0.024,0.0103092783505155,FRANCE,4.0,,,,,1,0,1,1,0
La Coopération Agricole,Trade unions and professional associations,2.0,0.0757236852586468,0.0678726922246041,0.0113079906441654,0.0145318485502225,0.111111111111111,0.09375,0.016,0.0309278350515464,FRANCE,2.0,,,,,1,1,1,1,0
Swedbank AB (publ),Companies and groups,7.0,0.210119804362026,0.190940891038104,0.0329771495130309,0.0454442020080745,0.305555555555556,0.25,0.048,0.0824742268041237,SWEDEN,1.0,284368935.169503,7275434.44700539,17275.0,K - Financial and insurance activities,1,1,1,1,0
Föderation der Natur- und Nationalparke Europas (Föderation EUROPARC) e.V.,"Non-governmental organisations, platforms and networks and similar",1.0,0.0407661425225828,,0.005602568123662,,0.0555555555555556,,0.008,,GERMANY,16.75,,,,,0,0,1,0,0
Institut pro politiku a společnost,Think tanks and research institutions,3.0,0.0260287721646035,,0.0083685038968738,,0.0277777777777778,,0.012,,CZECH REPUBLIC,4.0,,,,,0,0,1,1,1
Xylem Inc.,Companies and groups,3.0,0.145214516720037,0.117625920202071,0.0238565197839664,0.0408111438304958,0.222222222222222,0.125,0.048,0.0824742268041237,UNITED STATES,2.0,7952000.0,5522000.0,17800.0,C - Manufacturing,0,1,0,0,0
DROG BV,Companies and groups,4.0,0.0667949146871864,,0.0139710720205359,,0.0555555555555556,,0.02,,NETHERLANDS,1.75,366.783298621774,,1.0,"R - Arts, entertainment and recreation",0,1,1,1,0
Aurubis AG,Companies and groups,11.0,0.445818317959502,0.389104225867026,0.0710973168962288,0.124135931367101,0.694444444444444,0.5625,0.136,0.206185567010309,GERMANY,2.65,7690849.34695923,18291470.7466223,7230.0,B - Mining and quarrying,0,1,1,0,0
Boliden Group,Companies and groups,9.0,0.358860584046265,0.247646526081393,0.0530050789704998,0.0627267029475635,0.472222222222222,0.21875,0.092,0.134020618556701,SWEDEN,7.5,9242660.8093977,8334372.01835215,6226.0,B - Mining and quarrying,1,1,1,1,0
ERAMET,Companies and groups,10.0,0.355090251557297,0.179773833856789,0.0511953382329208,0.0395323349572166,0.472222222222222,0.21875,0.088,0.0927835051546392,FRANCE,3.85,7635785.73644161,6334534.36076641,13764.0,B - Mining and quarrying,0,1,0,0,0
Blue Solutions,Companies and groups,1.0,0.0407661425225828,,0.005602568123662,,0.0555555555555556,,0.008,,FRANCE,0.5,332689.93616523,124123.704110398,244.0,C - Manufacturing,0,1,1,1,0
SINTEF AS,Think tanks and research institutions,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,NORWAY,1.5,,,,,0,0,1,1,0
International Chamber of Commerce,Trade and business associations,10.0,0.237704918032787,0.0296624956378683,0.0335211466389878,0.0086685585715583,0.25,0.03125,0.044,0.0206185567010309,FRANCE,1.0,,,,,0,1,0,0,0
AOKpass Pte Ltd,Companies and groups,3.0,0.0815322850451656,0.0296624956378683,0.0139946375462821,0.0086685585715583,0.111111111111111,0.03125,0.024,0.0206185567010309,SINGAPORE,1.0,317.016783818305,185.570818388283,,J - Information and communication,0,1,0,0,0
Régie Autonome des Transports Parisiens,Companies and groups,2.0,0.0868573658971786,0.0478899745750037,0.0130462231388226,0.0095759128322338,0.111111111111111,0.0625,0.016,0.0206185567010309,FRANCE,1.5,21436726.0193825,6929248.68106842,62784.0,H - Transportation and storage,1,1,1,1,0
Electronic Frontier Foundation,"Non-governmental organisations, platforms and networks and similar",5.0,0.187637368764836,0.218484636987553,0.0299123792661019,0.0597002932470585,0.333333333333333,0.3125,0.06,0.103092783505155,UNITED STATES,1.0,,,,,0,1,0,0,0
Professional Taekwondo Association- Continent Europe,"Non-governmental organisations, platforms and networks and similar",2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,BULGARIA,0.75,,,,,0,1,0,0,0
Fédération Mondiale du Cirque (FMC),Trade unions and professional associations,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,MONACO,3.25,,,,,0,1,0,0,0
Eastman Chemical Company,Companies and groups,4.0,0.138914910226386,0.0296624956378683,0.0186252257367385,0.0043342792857791,0.138888888888889,0.03125,0.028,0.0103092783505155,UNITED STATES,4.0,14667000.0,10580000.0,14500.0,C - Manufacturing,1,1,1,1,0
MM Kotkamills Oy,Companies and groups,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,FINLAND,1.25,174235.426003933,671.957677602768,2.0,K - Financial and insurance activities,0,1,0,0,0
ICC BELGIQUE,Trade and business associations,4.0,0.138914910226386,0.0478899745750037,0.0186252257367385,0.0139101921180131,0.138888888888889,0.0625,0.024,0.0206185567010309,BELGIUM,0.25,,,,,0,1,1,1,0
Професионална асоциация по роботика и автоматизация (PARA),"Non-governmental organisations, platforms and networks and similar",2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,BULGARIA,0.25,,,,,0,0,1,1,0
Environmental Partnership Association (EPA),"Non-governmental organisations, platforms and networks and similar",3.0,0.107561057209769,0.0296624956378683,0.0139946375462821,0.0043342792857791,0.111111111111111,0.03125,0.02,0.0103092783505155,CZECH REPUBLIC,0.25,,,,,0,0,1,1,1
American Express Corporation,Companies and groups,3.0,0.0920981694785643,0.214016567791681,0.0217804028453081,0.068786899854949,0.555555555555556,0.5625,0.08,0.185567010309278,UNITED KINGDOM,2.0,,12000.0,11.0,"M - Professional, scientific and technical activities",0,1,1,1,0
ARTICLE 19,"Non-governmental organisations, platforms and networks and similar",5.0,0.221667064952445,0.312089751898566,0.0351461057952128,0.0607216784230989,0.277777777777778,0.21875,0.072,0.134020618556701,UNITED KINGDOM,1.6,,,,,0,1,1,1,0
New Horizons Project,Think tanks and research institutions,3.0,0.0928236868517899,,0.011181570721578,,0.111111111111111,,0.016,,BELGIUM,0.75,,,,,0,1,1,0,0
AFL-CIO,Trade unions and professional associations,3.0,0.127947872357374,0.0296624956378683,0.0204349664743175,0.0086685585715583,0.166666666666667,0.03125,0.04,0.0206185567010309,UNITED STATES,0.5,,,,,0,1,0,1,1
GROUPE D'INITIATIVE ITALIENNE,Trade and business associations,6.0,0.216275709346971,0.214016567791681,0.0348030604583845,0.068786899854949,0.555555555555556,0.5625,0.08,0.185567010309278,BELGIUM,0.25,,,,,0,0,1,0,0
CANSO - Civil Air Navigation Services Organisation,Trade and business associations,11.0,0.214174512896494,0.252764760622829,0.0511067821855077,0.0570090555695291,0.361111111111111,0.25,0.104,0.134020618556701,NETHERLANDS,4.0,,,,,0,1,1,0,0
Patria Oyj,Companies and groups,4.0,0.0928236868517899,,0.0139710720205359,,0.0833333333333333,,0.016,,FINLAND,0.25,865600.94789505,664774.130049348,3213.0,"O - Public administration and defence, compulsory social security",0,1,1,1,0
EU DisinfoLab,"Non-governmental organisations, platforms and networks and similar",16.0,0.455587471522567,0.419431427289496,0.0818257204703167,0.118927835922122,0.555555555555556,0.4375,0.148,0.216494845360825,BELGIUM,0.7,,,,,0,1,1,1,0
Stichting ALLAI Nederland (ALLAI),"Non-governmental organisations, platforms and networks and similar",1.0,0.0407661425225828,,0.005602568123662,,0.0555555555555556,,0.008,,NETHERLANDS,3.0,,,,,0,1,1,1,1
European Festivals Association,"Non-governmental organisations, platforms and networks and similar",2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,BELGIUM,7.0,,,,,1,1,1,1,0
CCI France,Trade and business associations,3.0,0.107561057209769,,0.0139946375462821,,0.111111111111111,,0.02,,FRANCE,2.0,,,,,1,1,1,1,0
Steptoe LLP,Law firms,4.0,0.112886138061782,0.077552470212872,0.0186252257367385,0.0139101921180131,0.138888888888889,0.0625,0.028,0.0309278350515464,UNITED STATES,0.25,,,,,1,1,1,1,0
European Recycling Industries' Confederation,Trade and business associations,9.0,0.304654686230464,0.379426525084335,0.0554697079137296,0.144572244499945,0.833333333333333,0.71875,0.204,0.422680412371134,BELGIUM,4.5,,,,,0,0,1,0,0
Universiteit Maastricht,Academic institutions,3.0,0.0520575443292071,,0.0083685038968738,,0.0555555555555556,,0.012,,NETHERLANDS,2.5,,,,,1,1,1,1,0
All Policies for a Healthy Europe,"Non-governmental organisations, platforms and networks and similar",6.0,0.144881231180997,,0.0195500746184518,,0.138888888888889,,0.028,,BELGIUM,2.0,,,,,0,0,1,0,0
Fair Trade Advocacy Office (FTAO),"Non-governmental organisations, platforms and networks and similar",1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BELGIUM,4.5,,,,,0,1,1,0,0
European Liaison Committee for Agriculture and agri-food trade,Trade and business associations,9.0,0.376937978938648,0.418241188493943,0.0602342587238264,0.124010623091135,0.444444444444444,0.3125,0.104,0.175257731958763,BELGIUM,1.5,,,,,0,0,1,0,0
Energy Transitions Commission,Trade and business associations,7.0,0.211676145868183,,0.0251526427421139,,0.25,,0.036,,UNITED KINGDOM,16.0,,,,,0,1,0,0,0
Wolt Enterprises,Companies and groups,13.0,0.472036036897195,0.450147066154843,0.0841045645297173,0.12100115228413,0.694444444444444,0.5,0.16,0.216494845360825,FINLAND,3.1,,,,I - Accommodation and food service activities,1,1,1,1,0
European Heart Network,"Non-governmental organisations, platforms and networks and similar",4.0,0.188590227660151,0.272491981986473,0.0320025498444792,0.0637877274790357,0.333333333333333,0.25,0.076,0.154639175257732,BELGIUM,6.75,,,,,0,0,1,0,0
Deutscher Verein für öffentliche und private Fürsorge e. V./German Association for Public and Private Welfare,"Non-governmental organisations, platforms and networks and similar",2.0,0.0825855119565391,0.0879634245642023,0.012972906826238,0.0182384322723583,0.194444444444444,0.125,0.028,0.0412371134020619,GERMANY,1.5,,,,,1,0,1,1,0
The American European Community Association,"Non-governmental organisations, platforms and networks and similar",11.0,0.254321400691424,,0.0353386680047401,,0.305555555555556,,0.052,,BELGIUM,3.0,,,,,0,1,0,0,0
Raiffeisen Bank International AG,Companies and groups,33.0,0.419528111010212,0.226180683649899,0.0883800410888846,0.0656043310329003,0.472222222222222,0.40625,0.12,0.134020618556701,AUSTRIA,1.75,220846890.240312,10437742.5920963,44414.0,K - Financial and insurance activities,1,1,1,1,0
"Unione Italiana delle Camere di Commercio, Industria, Artigianato e Agricoltura","Other organisations, public or mixed entities",1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,ITALY,3.0,,,,,1,1,1,1,0
Groupement Européen des Sociétés d'Auteurs et Compositeurs,Trade unions and professional associations,11.0,0.321973745001513,0.146573857121492,0.0510039277886665,0.0455266383003727,0.388888888888889,0.1875,0.064,0.103092783505155,BELGIUM,2.25,,,,,0,0,1,0,0
European Regions Research and Innovation Network,"Non-governmental organisations, platforms and networks and similar",5.0,0.118852459016393,,0.0167605733194939,,0.111111111111111,,0.024,,BELGIUM,15.0,,,,,1,0,1,1,0
ISC Intelligence in  Science,Professional consultancies,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BELGIUM,1.5,,,,,0,1,0,0,0
European Platform for Sport Innovation,"Non-governmental organisations, platforms and networks and similar",1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BELGIUM,0.25,,,,,0,0,1,0,0
Skift BUSINESS CLIMATE LEADERS,Trade and business associations,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,NORWAY,0.25,,,,,0,0,0,0,1
EURHODIP,"Other organisations, public or mixed entities",1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BELGIUM,0.25,,,,,0,1,0,0,0
H/Advisors Cicero,Professional consultancies,2.0,0.0520575443292071,,0.0055790025979159,,0.0555555555555556,,0.008,,UNITED KINGDOM,9.0,,,,,0,1,1,1,0
European Law Institute,"Non-governmental organisations, platforms and networks and similar",4.0,0.133589829374373,,0.0167841388452401,,0.166666666666667,,0.024,,AUSTRIA,6.25,,,,,0,1,1,1,0
Mattig Management Partners,Companies and groups,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,SWITZERLAND,0.25,,,75.0,"M - Professional, scientific and technical activities",0,0,1,0,0
Johnson & Johnson,Companies and groups,10.0,0.329061479392694,0.146573857121492,0.0483822714082166,0.0285730540327275,0.416666666666667,0.1875,0.068,0.0618556701030928,UNITED STATES,5.25,,85159000.0,,C - Manufacturing,0,1,0,0,0
Farm Europe,Think tanks and research institutions,8.0,0.144881231180997,,0.0251290772163677,,0.166666666666667,,0.036,,BELGIUM,3.75,,,,,0,0,1,0,0
European Liberal Youth,"Non-governmental organisations, platforms and networks and similar",2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,BELGIUM,3.0,,,,,0,0,1,0,0
Confederation of Norwegian Enterprise,Trade and business associations,4.0,0.184566585416368,0.263121707629161,0.034162548961882,0.0824524388607904,0.916666666666667,1.0,0.132,0.329896907216495,NORWAY,4.0,,,,,0,0,1,1,0
Norwegian Confederation of Trade Unions,Trade unions and professional associations,2.0,0.0983154104733228,0.077552470212872,0.0165706308453127,0.0139101921180131,0.166666666666667,0.0625,0.032,0.0309278350515464,NORWAY,2.0,,,,,1,1,1,1,0
EuroComment,Think tanks and research institutions,7.0,0.130143860823018,,0.0167370077937477,,0.138888888888889,,0.028,,BELGIUM,1.75,,,,,0,1,0,0,0
Gemeente Den Haag (GDH),Associations and networks of public authorities,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,NETHERLANDS,15.5,,,,,0,1,1,1,1
Ordre des avocats de Paris,Trade unions and professional associations,1.0,0.0407661425225828,,0.005602568123662,,0.0555555555555556,,0.008,,FRANCE,4.75,,,,,0,1,1,1,1
Dassault Systèmes,Companies and groups,8.0,0.327485382911947,0.563088887781046,0.0620752523579641,0.155974435877851,0.722222222222222,0.75,0.164,0.350515463917526,FRANCE,3.0,15210881.9620013,6044525.95990896,22523.0,J - Information and communication,1,1,1,1,0
European State Forest Association,Trade and business associations,12.0,0.519138109576383,0.451983315884807,0.0933496339285672,0.198053827752736,0.722222222222222,0.78125,0.192,0.34020618556701,BELGIUM,3.5,,,,,0,0,1,0,0
European Association of Fish Producers Organisations,Trade unions and professional associations,9.0,0.290424731953671,0.351517190953354,0.0600031784770848,0.102788640177661,0.472222222222222,0.4375,0.104,0.164948453608247,BELGIUM,2.0,,,,,0,0,1,0,0
MVNO Europe,Trade and business associations,3.0,0.155022702289347,0.374889908104425,0.0324984814176849,0.114504852068633,0.611111111111111,0.625,0.128,0.268041237113402,BELGIUM,0.75,,,,,0,1,1,1,0
World Leadership Alliance-Club de Madrid,"Non-governmental organisations, platforms and networks and similar",7.0,0.170910003345601,,0.0195500746184518,,0.194444444444444,,0.028,,SPAIN,1.25,,,,,0,1,0,0,0
Vlaams - Europees verbindingsagentschap,"Non-governmental organisations, platforms and networks and similar",2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,BELGIUM,10.0,,,,,1,0,1,1,0
European Network for Traveller Education,"Non-governmental organisations, platforms and networks and similar",2.0,0.0520575443292071,,0.0055790025979159,,0.0555555555555556,,0.008,,GERMANY,0.75,,,,,0,0,1,0,0
European Telecommunications Standards Institute,"Non-governmental organisations, platforms and networks and similar",4.0,0.0721199955391993,0.0478899745750037,0.0158121589120344,0.0095759128322338,0.111111111111111,0.0625,0.024,0.0206185567010309,FRANCE,2.75,,,,,0,1,1,1,0
BELTUG vzw/asbl,Trade unions and professional associations,2.0,0.0260287721646035,,0.0055790025979159,,0.0277777777777778,,0.008,,BELGIUM,0.75,,,,,0,0,1,1,0
Commissariat à l'Energie atomique et aux énergies alternatives,Think tanks and research institutions,9.0,0.320338702225621,0.445678996958971,0.0647638533787312,0.164437918570146,0.694444444444444,0.5625,0.148,0.278350515463918,FRANCE,35.0,,,,,1,1,1,1,0
EUROPEAN AUSTRALIAN BUSINESS COUNCIL,Trade and business associations,12.0,0.383669486529975,,0.0532683377572655,,0.444444444444444,,0.08,,AUSTRALIA,0.3,,,,,0,1,1,1,0
Confédération Européenne de la Production de Maïs,Trade unions and professional associations,2.0,0.0803774156032436,0.102221363643917,0.0124635298824017,0.0212878635534244,0.194444444444444,0.15625,0.028,0.0515463917525773,FRANCE,0.25,,,,,0,0,1,0,0
Seas At Risk,"Non-governmental organisations, platforms and networks and similar",24.0,0.837865028915548,0.750139172773651,0.159749876133753,0.279149557466903,0.5,0.46875,0.316,0.45360824742268,BELGIUM,10.5,,,,,0,1,1,0,0
European University Institute (EUI),Academic institutions,18.0,0.526725453647501,0.410964737358127,0.091951727714507,0.104374954330071,0.694444444444444,0.40625,0.184,0.185567010309278,ITALY,1.25,,,,,0,1,0,0,0
Athenora Consulting,Professional consultancies,9.0,0.251132884066976,0.194463831696495,0.0410414707898973,0.0381489668649614,0.416666666666667,0.1875,0.072,0.0618556701030928,BELGIUM,7.0,,,,,0,0,1,1,0
Pharmaceutical Group of the European Union,"Non-governmental organisations, platforms and networks and similar",6.0,0.268454651181316,0.422347823919438,0.0465155601815826,0.110797543888253,0.527777777777778,0.4375,0.12,0.206185567010309,BELGIUM,1.0,,,,,0,0,1,0,0
FTTH Council Europe ASBL,Trade and business associations,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,BELGIUM,0.75,,,,,0,0,1,0,0
Cooperativas Agro-alimentarias de España,Trade and business associations,3.0,0.130193407573802,0.116911361483623,0.0208314101793114,0.0242387747469483,0.25,0.1875,0.044,0.0618556701030928,SPAIN,7.5,,,,,0,1,1,1,0
John Wiley & Sons,Companies and groups,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,UNITED STATES,1.5,3108810.0,2019900.0,8800.0,J - Information and communication,0,1,0,0,0
HYDROGEN EUROPE RESEARCH,Trade unions and professional associations,2.0,0.0667949146871864,,0.00839206942262,,0.0833333333333333,,0.012,,BELGIUM,0.85,,,,,0,0,1,0,0
Hebbel Theater Berlin GmbH (HAU),"Non-governmental organisations, platforms and networks and similar",1.0,0.0522241870987271,,0.0091269758301521,,0.138888888888889,,0.02,,GERMANY,0.25,,,,,0,1,0,0,0
Dublin Dance Festival,"Non-governmental organisations, platforms and networks and similar",1.0,0.0522241870987271,,0.0091269758301521,,0.138888888888889,,0.02,,IRELAND,1.0,,,,,0,0,1,0,0
CODA Oslo International Dance Festival,"Non-governmental organisations, platforms and networks and similar",1.0,0.0522241870987271,,0.0091269758301521,,0.138888888888889,,0.02,,NORWAY,0.25,,,,,1,0,1,1,0
Danscentrum Sverige,"Non-governmental organisations, platforms and networks and similar",1.0,0.0522241870987271,,0.0091269758301521,,0.138888888888889,,0.02,,SWEDEN,0.0,,,,,0,0,1,1,1
Tanec Praha z.ú.,"Non-governmental organisations, platforms and networks and similar",1.0,0.0522241870987271,,0.0091269758301521,,0.138888888888889,,0.02,,CZECH REPUBLIC,2.8,,,,,1,0,1,1,0
Make Mothers Matter EU Delegation,"Non-governmental organisations, platforms and networks and similar",5.0,0.175409198808329,0.102221363643917,0.024154477547816,0.0212878635534244,0.305555555555556,0.15625,0.044,0.0515463917525773,FRANCE,2.7,,,,,0,1,1,0,0
Union des Entreprises Luxembourgeoises,Trade unions and professional associations,3.0,0.152664053911963,0.0879634245642023,0.0262446594287565,0.0364768645447166,0.194444444444444,0.125,0.048,0.0824742268041237,LUXEMBOURG,0.25,,,,,0,0,0,1,0
"EPA Consulting, s.r.o.",Professional consultancies,3.0,0.0780863164938106,,0.0083685038968738,,0.0833333333333333,,0.012,,CZECH REPUBLIC,1.25,,,,,1,0,1,1,0
Allego B.V.,Companies and groups,1.0,0.0260287721646035,,0.0027895012989579,,0.0277777777777778,,0.004,,NETHERLANDS,1.0,466806.865431666,146789.687972069,163.0,"M - Professional, scientific and technical activities",0,0,1,0,0
Forum Europe,"Other organisations, public or mixed entities",5.0,0.183284742468416,0.0478899745750037,0.0253026281904475,0.0095759128322338,0.277777777777778,0.0625,0.04,0.0206185567010309,UNITED KINGDOM,16.25,,,,,0,1,1,1,0
